#GPU,GPU type,Calc type,Topology,Time,Performance
1,A100,RIMP2 Gradient, 6, 6.746351, 2.498
1,A100,RIMP2 Gradient, 7, 9.925579, 3.452
1,A100,RIMP2 Gradient, 8, 14.100111, 4.467
1,A100,RIMP2 Gradient, 9, 19.33962, 5.496
1,A100,RIMP2 Gradient, 10, 26.709768, 6.46
1,A100,RIMP2 Gradient, 11, 35.20656, 7.668
1,A100,RIMP2 Gradient, 12, 45.955823, 8.748
1,A100,RIMP2 Gradient, 13, 61.65207, 9.511
1,A100,RIMP2 Gradient, 14, 81.579687, 10.22
1,A100,RIMP2 Gradient, 15, 104.72313, 11.08
1,GH200,HF Energy, 1, 0.116992, 0.00114
1,GH200,HF Energy, 2, 0.174003, 0.004058
1,GH200,HF Energy, 3, 0.27952, 0.007329
1,GH200,HF Energy, 4, 0.496726, 0.01005
1,GH200,HF Energy, 5, 0.712012, 0.01305
1,GH200,HF Energy, 6, 0.955821, 0.01625
1,GH200,HF Energy, 7, 1.279815, 0.01883
1,GH200,HF Energy, 8, 1.638268, 0.02157
1,GH200,HF Energy, 9, 2.007795, 0.02471
1,GH200,HF Energy, 10, 2.389375, 0.02817
1,GH200,HF Energy, 11, 2.813819, 0.03155
1,GH200,HF Energy, 12, 3.345022, 0.03419
1,GH200,HF Energy, 13, 3.864375, 0.03738
1,GH200,HF Energy, 14, 4.442707, 0.04038
1,GH200,HF Energy, 15, 5.042509, 0.04355
1,GH200,HF Gradient, 1, 0.166884, 0.0008041
1,GH200,HF Gradient, 2, 0.270626, 0.002625
1,GH200,HF Gradient, 3, 0.455654, 0.004523
1,GH200,HF Gradient, 4, 0.779786, 0.006436
1,GH200,HF Gradient, 5, 1.114098, 0.008384
1,GH200,HF Gradient, 6, 1.506924, 0.01037
1,GH200,HF Gradient, 7, 2.033173, 0.01192
1,GH200,HF Gradient, 8, 2.574074, 0.0138
1,GH200,HF Gradient, 9, 3.156488, 0.01581
1,GH200,HF Gradient, 10, 3.741059, 0.01809
1,GH200,HF Gradient, 11, 4.385066, 0.02035
1,GH200,HF Gradient, 12, 5.216207, 0.02205
1,GH200,HF Gradient, 13, 6.005044, 0.02419
1,GH200,HF Gradient, 14, 6.854664, 0.02632
1,GH200,HF Gradient, 15, 7.70169, 0.02867
1,GH200,RIHF Energy, 1, 0.028819, 0.2697
1,GH200,RIHF Energy, 2, 0.04698, 1.544
1,GH200,RIHF Energy, 3, 0.065732, 4.585
1,GH200,RIHF Energy, 4, 0.118171, 7.595
1,GH200,RIHF Energy, 5, 0.160749, 12.8
1,GH200,RIHF Energy, 6, 0.255051, 16.03
1,GH200,RIHF Energy, 7, 0.387802, 18.95
1,GH200,RIHF Energy, 8, 0.547158, 22.39
1,GH200,RIHF Energy, 9, 0.789789, 24.4
1,GH200,RIHF Energy, 10, 1.219257, 23.74
1,GH200,RIHF Energy, 11, 1.683471, 24.88
